0.1	0.1554
0.1	0.777
0.1	1.554
0.1	7.77
0.1	77.7
0.05	0.1554
0.05	0.777
0.05	1.554
0.05	7.77
0.05	15.54
0.25	77.7
0.5	0.1554
0.5	0.777
0.5	1.554
0.5	7.77
0.5	15.54
0.5	77.7
0.5	155.4
0.015	15.54
1	0.1554
1	0.777
1	1.554
1	7.77
1	15.54
1	77.7
1	155.4
10	1.554
10	7.77
10	15.54
10	77.7
10	155.4
50	0.1554
50	1.554
50	77.7
50	155.4
100	0.1554
100	77.7
150	0.1554
150	77.7
200	77.7
600	77.7
0.2	77.7
0.1	155.4
0.2	155.4
0.25	155.4
0.1	310.8
0.2	310.8
0.25	310.8
0.02	1.554
0.02	15.54
0.02	155.4
0.05	15.54
0.05	155.4
0.1	7.77
0.25	0.1554
0.035	0.777
0.035	1.554
0.035	15.54
0.015	15.54
0.015	7.77
0.5	0.11655
1	0.11655
5	0.11655
10	0.11655
250	1.554
0.035	310.8
0.02	310.8
500	1.554
500	7.77
500	15.54
500	77.7
518	85.47
1	777
100	777
