0.01	12.496
0.01	15.62
0.01	78.1
0.01	156.2
0.1	1.562
0.1	3.124
0.1	6.248
0.1	7.81
0.1	12.496
0.1	15.62
0.1	23.43
0.1	31.24
0.1	39.05
0.1	46.86
0.1	78.1
0.1	156.2
0.5	1.562
0.5	3.124
0.5	4.686
0.5	6.248
0.5	7.81
0.5	9.372
0.5	10.934
0.5	12.496
0.5	14.058
0.5	15.62
0.5	23.43
0.5	31.24
0.5	39.05
0.5	46.86
1	1.562
1	3.124
1	7.81
1	12.496
1	15.62
1	78.1
1	156.2
2	7.81
2	12.496
2	15.62
5	1.562
5	7.81
5	15.62
5	23.43
5	31.24
5	78.1
5	156.2
10	1.562
10	78.1
11	12.496
12	12.496
13	12.496
14	12.496
15	12.496
16	12.496
17	12.496
18	12.496
19	12.496
20	12.496
21	12.496
22	12.496
23	12.496
24	12.496
25	12.496
26	12.496
27	12.496
28	12.496
29	12.496
30	12.496
50	1.562
50	7.81
50	15.62
50	78.1
50	156.2
0.005	15.62
0.5	0.781
1	0.781
10	0.781
100	0.781
0.05	1.562
0.005	7.81
0.005	15.62
0.5	7.81
0.5	15.62
175	15.62
0.25	1.562
600	15.62
50	0.781
5	0.781
0.1	1562
200	1562
600	15.62
