10	0.01
1	0.01
0.1	0.01
0.1	0.1
0.1	1
0.01	0.01
0.01	0.1
0.01	1
5	0.01
0.5	0.01
0.05	0.01
0.05	0.1
0.05	1
2.5	0.01
0.25	0.01
0.25	0.1
0.025	0.01
0.025	0.1
0.025	1
0.025	10
0.005	1
0.005	5
0.005	10
0.01	5
0.05	5
0.1	5
0.1	0.05
50	0.01
100	0.01
0.25	0.05
0.25	0.02
25	0.01
