# Filename: Nuclei_416_bidi_024.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 170
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
470.89954   1219.92237  219.00000  22.05450             12.99627
625.77966   1146.44633  177.00000  16.87024             13.63181
663.06316   1034.88421  95.00000   13.50404             9.27330
667.12500   1102.94118  136.00000  17.41187             10.09036
688.04321   1135.34568  162.00000  19.36079             10.75005
690.41975   961.91358   81.00000   10.96132             9.46845
692.69474   1191.85263  95.00000   14.80088             8.28320
693.85484   1050.29032  62.00000   10.98240             7.20380
707.80208   1117.45833  96.00000   13.31907             9.40467
706.04762   1028.07143  42.00000   7.55698              7.05845
722.01408   280.35211   71.00000   9.95827              9.07098
726.84375   709.07143   224.00000  21.25769             13.86655
727.38983   1338.16949  118.00000  13.09089             11.57914
730.10309   1311.71134  97.00000   12.66005             10.15515
746.35065   1122.62338  77.00000   11.47841             8.59532
752.55814   871.72093   43.00000   7.79078              7.11721
757.69027   730.77876   113.00000  17.15952             8.43156
757.36923   1247.53846  65.00000   10.71568             7.69916
764.31285   1183.59777  179.00000  17.54480             13.04494
768.10294   1214.15441  136.00000  14.53546             12.02175
789.48951   1185.90909  143.00000  17.21195             10.72378
792.94505   933.42857   182.00000  21.53735             10.85224
794.26126   630.11712   111.00000  13.82571             10.31954
798.47436   736.64103   78.00000   10.29888             9.78037
806.56522   1081.10870  46.00000   8.26163              7.11469
813.81395   1212.38372  86.00000   11.63483             9.54549
815.89600   386.40000   125.00000  13.65173             11.77731
824.18487   1046.66387  119.00000  12.79692             11.95236
824.01000   1029.82000  100.00000  12.34501             10.39426
832.36585   808.86585   82.00000   11.72331             8.96812
834.62069   717.25862   58.00000   9.04147              8.17799
837.76543   639.37037   81.00000   11.84101             8.70500
844.00000   766.11905   42.00000   9.07861              5.92168
846.45536   1168.29464  112.00000  13.70838             10.51268
856.11765   956.31618   136.00000  15.93732             10.88191
