# Filename: Nuclei_416_bidi_60x_020.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 2082
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
11.73184    994.15642   179.00000  19.45128             11.79312
24.20243    1297.97571  247.00000  18.52747             17.02876
30.80503    1045.39623  159.00000  16.46203             12.44842
33.08197    1182.26230  122.00000  14.09847             11.15723
44.45729    732.83417   199.00000  17.54372             14.67607
47.63014    711.19863   146.00000  16.60544             11.26095
62.61991    689.22172   221.00000  18.30987             15.48855
66.28169    929.49296   213.00000  19.31923             14.20356
69.64935    1306.51299  154.00000  15.90773             12.38297
75.69608    723.89216   204.00000  20.00031             13.39191
78.14218    913.29384   211.00000  16.79705             16.28835
81.71144    1146.40796  201.00000  18.40340             14.22234
83.67797    1380.60452  177.00000  22.69046             10.62713
82.58889    1351.72778  180.00000  16.85968             13.60210
90.63819    928.35176   199.00000  20.76902             12.23023
90.59735    667.07080   226.00000  21.99589             13.84945
97.55469    1235.75000  128.00000  14.62672             11.28101
99.09290    634.65574   183.00000  15.92577             14.70091
112.27149   919.43439   221.00000  23.81074             11.99395
107.15441   1071.77941  136.00000  13.84228             12.57666
106.97115   1121.87500  104.00000  12.95507             10.47611
112.76243   1339.14917  181.00000  17.28762             13.72463
120.87654   881.63580   324.00000  23.96105             17.25325
119.03226   1257.73118  186.00000  16.43967             14.42388
120.88961   689.21429   154.00000  15.56445             12.63833
124.47899   1010.39496  119.00000  13.47017             11.30559
134.24812   1096.43609  133.00000  14.36887             11.81961
133.93506   164.81169   154.00000  16.81549             11.76973
136.48718   1270.76923  195.00000  18.13965             14.51315
136.58989   646.36517   178.00000  16.09784             14.07967
140.13158   1195.01053  190.00000  21.82830             12.27596
135.82353   692.84314   102.00000  12.14702             11.11566
142.67337   889.52261   199.00000  18.57167             13.69190
146.90964   1228.22892  166.00000  18.28977             11.74158
147.55157   1066.21525  223.00000  19.94916             14.37021
149.86341   1350.84390  205.00000  23.54658             11.49642
148.29891   1080.69022  184.00000  18.69094             13.05628
147.48344   633.41060   151.00000  16.69274             11.66652
153.27953   943.26772   254.00000  22.27459             14.76419
160.70588   626.89412   170.00000  16.06746             13.49999
160.71186   887.03390   118.00000  13.66070             11.02099
160.64706   53.21569    51.00000   9.05146              7.82407
166.83173   774.92788   208.00000  21.78698             12.24834
165.33000   125.96000   100.00000  13.04611             10.43221
171.68664   666.10599   217.00000  21.47508             13.02394
170.50633   1187.44304  237.00000  20.17989             15.63219
170.16908   607.01449   207.00000  19.34081             13.65566
172.26244   1221.50226  221.00000  18.55090             15.20336
171.07921   200.50495   101.00000  11.98673             11.02740
177.89286   833.01071   280.00000  21.21923             16.92045
175.62983   574.37017   181.00000  16.86289             13.65594
