# Filename: Nuclei_ctrl_pfa_002.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 1354
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
507.04734   986.44379   169.00000  19.95981             10.80565
510.49187   1083.65041  246.00000  20.36725             15.54116
505.81720   1278.34409  93.00000   16.41651             7.23673
515.02222   1313.42222  90.00000   12.01263             9.52382
513.86111   1627.62500  72.00000   10.35106             8.93602
519.33254   1266.18527  421.00000  33.15139             18.81140
522.33708   883.21910   178.00000  23.54226             10.04409
522.36866   766.43318   217.00000  20.74173             13.48135
523.08584   1210.76824  233.00000  19.75986             15.14861
520.46939   1382.74490  98.00000   13.88959             9.20862
523.87719   914.41520   171.00000  17.75565             12.42736
525.23121   1245.05780  173.00000  19.45455             11.59574
523.95210   1532.92216  167.00000  16.76795             12.72069
525.20856   960.30481   187.00000  16.93266             14.36428
525.93237   1011.16908  207.00000  20.75306             12.89749
527.68880   1154.17842  241.00000  18.18297             16.89807
530.72947   1045.41063  414.00000  26.80048             21.02197
532.02837   848.00000   141.00000  19.75019             9.17843
539.90452   976.06533   398.00000  29.86225             17.37358
537.42920   1105.94690  226.00000  18.37300             15.75160
538.13314   1185.71598  338.00000  25.97946             16.76259
534.89623   1235.96226  106.00000  15.18742             9.05829
535.52434   1316.56929  267.00000  26.54937             13.17257
533.63636   1388.66234  77.00000   10.72120             9.16085
540.28634   1587.16300  227.00000  17.76629             16.55682
541.02890   1019.63584  173.00000  15.72278             14.26423
545.34048   923.09286   420.00000  31.43904             18.17569
543.46032   1125.02778  252.00000  21.51338             15.15194
541.92432   1536.81081  185.00000  16.66474             14.13527
542.20874   845.42718   206.00000  21.07818             12.58818
543.13462   1234.50962  104.00000  16.39545             8.23535
542.84000   611.52000   50.00000   9.09944              7.16548
550.44304   1604.78481  237.00000  20.52888             15.00718
548.28859   663.55705   149.00000  15.36942             12.63027
549.63636   1101.78788  66.00000   9.49222              8.95282
556.93074   754.58442   231.00000  21.61492             13.76041
562.98551   1233.58551  345.00000  33.96981             13.18876
557.04072   834.42986   221.00000  18.97986             14.86238
559.50427   1249.55556  117.00000  17.16070             8.94183
555.60484   1271.36290  124.00000  14.75101             10.75214
560.13169   1312.67490  243.00000  21.53720             14.75477
563.37710   698.28620   297.00000  24.99530             15.58941
563.57090   1189.47761  268.00000  20.63457             16.66279
571.44954   1055.19878  327.00000  30.14410             14.11551
564.69822   1163.78107  169.00000  17.16094             12.63366
566.07471   1552.12644  174.00000  17.46546             13.13384
567.75494   631.55336   253.00000  22.84678             14.17585
571.53287   1104.28028  289.00000  23.07164             16.06140
571.08571   1291.88214  280.00000  24.49605             14.79009
566.79121   1583.12088  91.00000   12.32989             9.43274
569.00000   666.53005   183.00000  18.30445             12.77093
570.59596   1512.51515  99.00000   14.31564             8.90365
570.45455   1520.96970  99.00000   13.43951             9.39259
574.46713   1599.26644  289.00000  26.43589             14.01400
571.31875   930.45000   160.00000  15.19595             13.43568
571.75652   1479.34783  115.00000  14.56167             10.08635
577.57759   602.08621   348.00000  23.41827             18.99339
574.05435   1276.82609  92.00000   13.16698             8.89623
578.16532   1624.06855  248.00000  20.59939             15.41860
576.85593   1164.74576  118.00000  12.85417             12.04710
576.18750   1411.45536  112.00000  15.09727             9.85136
581.99505   1206.30693  202.00000  17.75111             14.74215
583.69474   574.16491   285.00000  21.89917             16.72277
586.80685   1016.26168  321.00000  25.67335             16.33669
581.30303   1735.87879  198.00000  16.80994             15.01529
582.39252   12.81308    107.00000  12.08249             11.32355
584.89944   1221.97207  179.00000  18.59457             12.30118
589.48163   1566.28163  245.00000  22.27677             14.08971
588.30256   1277.70769  195.00000  17.88697             14.02758
592.03137   1117.46275  255.00000  22.08219             15.24421
587.41772   1404.07595  79.00000   11.07546             9.14687
591.22283   959.10326   184.00000  21.97444             10.70484
594.69863   1034.67580  219.00000  19.10418             14.73186
600.06550   748.19214   229.00000  24.11574             12.28443
593.94048   847.36905   84.00000   11.53066             9.30174
595.67857   1249.22768  224.00000  19.80126             14.61650
597.74863   872.08197   183.00000  20.21048             11.65030
594.48780   1538.42683  82.00000   11.12441             9.35289
597.88776   1054.95918  196.00000  18.72114             13.40670
606.10473   404.04054   296.00000  27.96097             13.75790
600.00699   1701.62238  143.00000  16.12277             11.33029
604.99588   636.59259   243.00000  24.22812             12.82121
609.61364   1293.22443  352.00000  33.43928             13.82791
611.78641   1602.49515  206.00000  28.78151             10.26548
605.80858   1141.64026  303.00000  26.78105             14.83238
603.50526   1355.85263  95.00000   11.58308             10.61529
606.39910   910.45291   223.00000  25.57036             11.16622
606.32203   889.57627   118.00000  13.33869             11.30419
609.56757   965.16757   185.00000  19.41701             13.63593
608.78065   980.17419   155.00000  18.34055             11.06554
608.02410   1091.92169  166.00000  15.50824             13.65545
607.06977   1103.50000  86.00000   12.96002             8.43343
615.56311   838.05825   412.00000  32.25447             16.31835
615.95941   708.84871   271.00000  20.20776             17.18639
614.64216   1338.23039  204.00000  17.77588             14.77752
619.41038   752.86321   212.00000  24.54068             11.31567
616.94191   1382.26971  241.00000  20.54002             15.24332
621.32753   585.21254   287.00000  23.79375             15.49025
621.66753   781.05928   388.00000  24.85780             20.30024
618.04167   992.51667   120.00000  15.93127             9.83341
616.75845   1020.69565  207.00000  20.66103             12.79798
619.19689   1561.20725  193.00000  16.97196             14.69173
618.33108   959.35135   148.00000  18.68561             10.38112
616.90419   1077.23952  167.00000  22.86823             9.36056
623.97484   813.27044   159.00000  15.20480             13.51770
620.53448   1269.74138  58.00000   9.68121              7.60754
628.46597   1256.65445  191.00000  19.87082             12.53336
631.28155   1313.02913  103.00000  15.45608             8.50714
629.67347   1328.02041  49.00000   9.51378              6.57918
633.27333   1038.92000  150.00000  19.58800             9.91560
635.02212   713.06195   226.00000  20.84584             13.88197
634.09091   1128.97403  77.00000   10.99170             8.89626
640.10784   1086.73529  204.00000  18.10383             14.53201
641.16878   826.33333   237.00000  18.40950             16.54314
640.81690   847.74648   142.00000  14.66112             12.38102
637.72414   1105.34483  29.00000   6.53899              5.60026
640.69364   1301.65318  173.00000  18.54420             11.92528
641.61935   1412.09032  155.00000  19.97836             9.97886
645.53158   909.99474   190.00000  20.12892             12.88286
645.68511   1320.35745  235.00000  22.25742             13.93136
648.33333   645.92014   288.00000  21.27588             17.65602
646.33186   981.59292   226.00000  21.75221             13.28061
649.58000   583.41000   300.00000  25.22633             15.25910
646.86517   1383.84270  178.00000  16.23617             14.00373
647.76154   1201.57692  130.00000  16.11479             10.41530
650.09402   789.18376   234.00000  24.13418             12.44907
650.40127   685.45223   314.00000  24.93609             16.17142
652.49000   1189.59000  200.00000  20.76434             12.40286
653.12862   416.30225   311.00000  25.74223             15.73077
654.54440   1262.30888  259.00000  23.03401             14.36211
651.32110   1349.94495  109.00000  14.76738             9.59963
653.94915   1613.47458  177.00000  16.74502             13.54232
655.77739   1287.55830  283.00000  32.18168             11.60119
653.10145   1425.56522  138.00000  15.37825             11.52067
658.74539   1134.77860  271.00000  23.73270             14.58351
656.77005   763.03743   187.00000  19.51918             12.44773
655.22543   1216.12139  173.00000  16.83619             13.20633
662.08197   665.86885   244.00000  23.86139             13.08569
658.71728   1652.79581  191.00000  18.03090             13.50967
663.59438   538.87952   249.00000  26.43555             12.18002
662.11888   826.25874   143.00000  15.89221             11.50557
664.85246   745.07104   183.00000  23.32331             11.02946
661.29885   1121.32184  87.00000   11.16773             9.91980
661.25000   917.22500   120.00000  16.45733             9.33878
663.59067   1350.68912  193.00000  19.76313             12.55248
662.90123   1110.44444  81.00000   10.64924             9.68737
666.12921   244.01124   178.00000  16.43163             13.81832
666.29121   813.73077   182.00000  19.56932             12.07022
674.30868   403.83280   311.00000  27.20713             14.69867
667.15029   1406.78613  173.00000  16.88790             13.09968
667.67978   1467.62360  178.00000  16.78242             13.55198
671.46970   515.87576   330.00000  22.97973             18.58863
668.94857   858.08000   175.00000  17.52831             12.75336
668.26786   1048.72321  112.00000  13.30957             10.81250
673.19600   680.12800   250.00000  24.46656             13.18903
675.32187   562.05938   320.00000  24.33440             17.13835
671.61871   804.76978   139.00000  16.85927             10.78306
671.12360   1431.42135  178.00000  16.70006             13.64067
672.40000   876.91111   90.00000   12.82932             8.97465
677.32323   1170.25253  198.00000  22.60925             11.22355
671.38028   1283.46479  142.00000  16.09178             11.26704
672.21839   1378.03448  174.00000  19.98389             11.20960
673.16197   1481.50704  142.00000  15.08430             12.05333
676.47482   1107.57554  139.00000  14.31185             12.34126
676.95122   1262.98374  123.00000  13.96554             11.32711
677.56667   1445.08333  180.00000  17.05881             13.53897
684.21649   720.89691   291.00000  26.42478             14.28334
675.80000   1356.44286  70.00000   11.56309             7.76088
679.39623   989.43396   159.00000  19.16739             10.75826
686.06410   1306.98077  156.00000  18.49471             11.06285
686.87197   460.95848   289.00000  22.98727             16.09535
679.24390   973.00000   41.00000   7.23137              7.16525
684.67832   1227.98601  143.00000  18.74963             9.80487
684.23243   747.29730   185.00000  21.56560             11.48902
683.44048   1384.51190  84.00000   11.32451             9.46579
684.79245   1358.55660  106.00000  12.99717             10.54340
687.17339   1513.39919  248.00000  25.98542             12.26264
687.62381   807.49524   210.00000  18.43455             14.65144
685.89041   1101.21918  73.00000   10.03783             9.29172
690.20253   1183.57595  158.00000  19.00497             10.70368
689.12353   838.83529   170.00000  19.85009             11.13454
687.58929   966.16071   56.00000   9.55972              7.50710
694.57416   274.37321   209.00000  16.59634             16.25650
692.64430   1069.04698  149.00000  17.66869             10.73722
698.84956   1130.01180  339.00000  29.64963             15.65006
696.91011   649.09551   178.00000  17.93890             12.74774
695.67347   1219.88776  98.00000   13.60911             9.18667
699.36788   627.93264   193.00000  18.60594             13.41624
697.17117   1438.54955  111.00000  15.13985             9.47674
700.97887   1159.69014  142.00000  15.76976             11.55133
698.46237   1252.69892  93.00000   14.10491             8.38125
705.33333   736.57639   288.00000  23.60730             16.43309
707.71658   604.64171   187.00000  18.31091             13.10191
707.21875   1305.99375  160.00000  18.74847             10.94206
711.75000   309.48106   264.00000  25.20504             13.45488
705.63359   1281.68702  131.00000  16.66925             10.34116
708.53265   1504.65636  291.00000  24.39415             15.25618
706.36923   948.13846   65.00000   10.04689             8.25477
