# Filename: Nuclei_416_bidi_60x_005.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 944
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
12.15306    875.46939   98.00000   13.22821             9.50468
107.89252   1430.42056  214.00000  21.60490             12.69515
112.02548   1759.81529  157.00000  15.17323             13.27202
139.01504   1822.94737  133.00000  17.04403             10.00348
152.04918   1829.22951  122.00000  15.10244             10.29493
166.23529   1824.73529  68.00000   11.66095             7.47647
191.45965   829.03509   285.00000  22.27980             16.64743
188.65753   1449.08904  146.00000  15.28287             12.28621
231.46988   799.24096   249.00000  19.40732             16.38894
241.05051   785.03030   198.00000  17.38617             14.56886
246.69302   1866.73953  215.00000  19.44285             14.11568
250.61404   1580.77193  114.00000  12.32086             11.86762
262.69963   1231.55311  273.00000  25.15771             14.05757
260.71123   618.64171   187.00000  15.97815             15.02246
262.42342   751.00901   111.00000  12.86685             10.97448
266.44444   1721.28889  135.00000  14.73159             11.69469
270.79221   1583.04545  154.00000  15.93464             12.32513
281.55497   745.87958   191.00000  16.98104             14.42267
286.48162   562.48162   272.00000  20.87782             16.69414
299.03285   728.00000   274.00000  18.86154             18.64983
300.02500   703.68125   160.00000  15.40976             13.27417
303.64120   660.82724   301.00000  21.08988             18.59201
308.98795   530.55020   249.00000  19.16233             16.59170
309.21739   629.42391   276.00000  19.93999             17.71874
312.75771   717.71366   227.00000  19.19425             15.23528
311.67532   608.92857   154.00000  15.75208             13.04438
316.35789   871.63860   285.00000  20.34633             17.91266
315.78713   1538.77723  202.00000  17.96263             14.55149
316.75785   767.52466   223.00000  20.32140             14.18120
321.51190   807.63095   336.00000  22.79770             19.07597
319.19328   287.93277   119.00000  13.01881             11.68459
323.14047   914.88294   299.00000  24.26727             15.75723
328.63743   1251.77193  171.00000  19.39342             11.40435
330.49498   851.48495   299.00000  19.62944             19.42154
334.92481   681.76692   133.00000  14.71427             11.55197
339.38983   556.92797   236.00000  18.45226             16.38052
343.08814   718.28475   295.00000  21.73517             17.43340
343.16580   672.06736   193.00000  16.90280             14.58655
345.92883   1005.50890  281.00000  19.93651             18.32306
349.49187   542.00407   246.00000  19.73095             15.92428
347.47674   1578.91279  172.00000  17.77984             12.44253
346.44444   800.18519   54.00000   9.93316              6.98099
351.01739   895.03913   230.00000  19.22494             15.30127
351.39286   1550.04464  224.00000  18.94942             15.06618
351.97647   649.53725   255.00000  23.88643             13.81089
351.97992   966.83936   249.00000  25.45563             12.73555
354.91538   826.77692   260.00000  20.88409             15.93031
355.70455   849.21970   132.00000  15.93320             10.87507
358.21603   878.06272   287.00000  21.82441             16.89444
358.03600   1048.03200  250.00000  22.02043             14.73797
362.70423   700.49296   71.00000   10.73115             8.43231
370.65990   537.79695   197.00000  19.02310             13.24648
368.35088   781.17544   57.00000   9.63023              7.58275
373.30493   1562.64574  223.00000  19.63646             14.52411
373.02206   968.19118   136.00000  15.54180             11.27625
374.71176   703.21765   170.00000  17.31358             12.53277
375.50877   1049.98684  228.00000  19.62244             14.86104
379.05056   1005.76966  178.00000  17.21583             13.20817
382.62288   589.60169   236.00000  19.46263             15.62003
379.22535   693.53521   71.00000   10.60096             9.04908
382.73077   1255.25000  208.00000  17.78553             14.96070
383.71186   643.26695   236.00000  18.69871             16.15470
384.67273   678.92727   165.00000  15.94290             13.19785
386.01485   1083.90099  202.00000  18.09403             14.26102
387.16279   659.80000   215.00000  18.91370             14.51923
392.82595   526.63291   316.00000  23.45405             17.27003
393.95390   1109.10993  282.00000  20.60153             17.56776
393.34831   747.25281   178.00000  16.01695             14.58333
395.31818   757.99091   110.00000  14.77293             9.51522
396.02679   1844.05357  112.00000  12.24241             11.76837
397.86010   544.95855   193.00000  16.82511             14.66499
398.38119   894.50000   202.00000  16.73947             15.45225
399.85792   568.28415   183.00000  16.86082             13.91935
397.67368   1632.13684  95.00000   12.48845             9.88425
402.22857   1012.27857  280.00000  20.50983             18.73150
398.77551   859.85714   49.00000   8.36103              7.63325
404.36271   1251.60339  295.00000  19.87781             19.01097
401.83036   668.65179   112.00000  13.76891             11.22571
404.17949   692.32051   156.00000  14.69305             13.61019
409.07299   599.12044   274.00000  24.18671             14.55018
409.64372   584.36437   247.00000  23.38046             13.52762
408.83951   851.52469   162.00000  18.47373             11.43002
413.44156   978.67965   231.00000  19.94625             15.11229
414.59887   755.80791   177.00000  16.02490             14.15066
418.08589   532.02454   163.00000  16.67858             12.48820
420.80653   706.94724   398.00000  25.14757             20.53068
423.45404   953.76323   359.00000  28.23492             16.71715
426.22756   844.44551   312.00000  22.71298             17.78542
419.72840   1814.88889  81.00000   10.72798             9.83201
423.40113   742.44633   177.00000  16.47628             13.76854
428.36759   494.75494   253.00000  23.75394             13.86878
425.36111   1494.46667  180.00000  16.48125             13.99833
422.56923   548.12308   65.00000   11.57709             7.39997
425.88835   1636.42233  206.00000  17.65930             15.04327
431.09836   972.41393   244.00000  20.19339             15.56855
430.98883   527.36313   179.00000  15.62245             14.65566
435.02848   636.13924   316.00000  24.52080             16.58051
430.30000   592.68750   80.00000   10.79999             9.55813
432.05172   1653.01724  58.00000   9.33229              7.96753
437.30769   537.63077   65.00000   11.28166             7.35770
443.16045   558.39552   268.00000  19.85236             17.29590
447.63675   682.71368   234.00000  25.45570             11.86548
442.21277   666.64894   94.00000   12.49683             9.58418
446.67073   928.11789   246.00000  20.37131             15.51172
448.71984   646.15953   257.00000  22.64338             14.52904
447.54091   1038.94091  220.00000  19.63578             14.28886
446.16216   1171.83243  185.00000  18.08781             13.13892
448.76884   900.67337   199.00000  19.82255             12.83846
450.01282   1184.79487  234.00000  23.28024             12.96626
446.77928   1222.46847  222.00000  17.45175             16.28053
451.64875   707.02509   279.00000  22.55952             15.88110
456.12027   989.18213   291.00000  22.19037             17.45039
457.19328   1022.40336  238.00000  24.88109             12.36352
451.36905   1698.73810  84.00000   10.80124             9.92637
453.87273   743.76970   165.00000  15.35469             13.80112
452.79389   756.18321   131.00000  14.83882             11.33651
462.78814   828.43220   236.00000  21.51055             14.40443
461.46053   1037.24342  152.00000  15.58644             12.66514
467.61667   495.35417   240.00000  25.29663             12.41192
468.17925   510.79245   106.00000  12.58094             10.76979
474.17910   584.85075   268.00000  22.17754             15.44380
476.25424   626.77966   295.00000  27.28422             14.08007
469.61472   1515.93939  231.00000  23.56118             12.58099
473.71569   1591.60294  204.00000  18.40000             14.16349
473.68108   767.71892   185.00000  16.96367             14.08015
475.30603   703.15948   232.00000  19.40404             15.33731
475.06356   942.97458   236.00000  19.35236             15.57881
478.77344   901.91016   256.00000  20.28958             16.48318
477.75969   861.79070   129.00000  13.78181             11.95092
475.69811   726.77358   53.00000   8.76463              7.69201
480.62343   960.17573   239.00000  19.06975             15.98038
481.50754   976.77889   199.00000  16.77002             15.22803
485.27972   1025.48601  286.00000  24.15589             15.22764
484.95146   669.22330   309.00000  24.09622             16.61674
482.39130   716.04348   23.00000   6.19388              4.66523
490.69780   838.97802   182.00000  21.04670             11.98380
491.69547   1042.68724  243.00000  19.62386             16.31995
491.97452   1658.69427  157.00000  15.02942             13.34975
498.92604   494.00592   338.00000  26.44532             16.86882
493.31795   923.45128   195.00000  16.60319             15.03472
492.54918   1717.13934  122.00000  13.05715             11.93895
496.48018   573.20705   227.00000  18.54585             15.68446
495.48696   948.20870   230.00000  19.93619             14.76559
496.98500   704.66500   200.00000  18.80192             13.78871
498.20741   731.77037   270.00000  19.94794             17.59671
