# Filename: Nuclei_416_bidi_60x_010.npz
# Voxel size (nm): (108, 108)
# Area quantity: voxels
# Num nuclei detected: 1456
Y           X           AREA       MAJOR_AXIS_LENGTH    MINOR_AXIS_LENGTH
300.70790   553.83505   291.00000  25.35109             15.22804
314.59756   506.64024   164.00000  16.35626             12.82170
328.59804   567.64706   204.00000  19.76472             13.21590
328.96685   1254.64641  181.00000  17.63288             13.11540
330.49754   1352.72906  203.00000  17.12113             15.16470
339.14344   1317.75820  244.00000  18.72788             16.62711
337.46078   1381.94118  102.00000  12.22482             10.68824
343.93469   630.05714   245.00000  20.85193             15.06283
347.32941   651.61176   85.00000   12.72812             8.72387
349.97368   527.36184   152.00000  15.13915             12.79659
372.12766   934.88511   235.00000  19.76177             15.25990
375.17742   563.24194   186.00000  18.62942             12.75320
381.29032   972.37788   217.00000  18.54407             15.02519
382.29344   812.52896   259.00000  21.01139             15.73880
384.41202   632.72961   233.00000  19.94582             14.97335
390.13441   557.15054   186.00000  16.78201             14.14946
393.05978   581.51630   184.00000  17.33673             13.58332
394.46729   900.41121   107.00000  12.40470             11.00207
398.94359   1483.41026  195.00000  17.26415             14.40531
401.60123   970.42331   163.00000  18.11261             11.63322
401.05446   1529.09901  202.00000  19.39648             13.33973
409.90076   788.80153   262.00000  19.20131             17.53303
410.17514   1429.03390  177.00000  17.79410             12.74398
417.51575   930.46850   254.00000  19.56573             16.59419
416.95455   989.87013   154.00000  17.24194             11.49012
414.44828   738.34483   29.00000   7.92033              4.81510
422.37828   896.97753   267.00000  24.93263             13.64529
422.75472   980.57547   212.00000  21.39649             12.78873
428.97087   700.24272   206.00000  21.38278             12.66427
428.66298   597.23204   181.00000  16.41486             14.07343
429.95455   826.26818   220.00000  17.20407             16.38846
431.30992   845.69835   242.00000  21.62376             14.59193
429.57738   541.87500   168.00000  17.07084             12.75231
430.72189   620.97633   169.00000  17.60976             12.33983
432.95038   770.25573   262.00000  20.24980             16.66111
442.24561   1432.15789  171.00000  19.86388             11.49183
437.96552   794.62069   58.00000   9.30189              8.13562
444.01775   580.27811   169.00000  16.23491             13.44334
446.66480   988.72067   179.00000  21.97798             10.44273
449.12664   703.68559   229.00000  17.50222             16.66390
453.02016   794.73790   248.00000  19.72332             16.17090
454.47303   763.98340   241.00000  19.21829             16.10502
456.53403   688.25131   191.00000  18.76010             13.18151
462.80672   956.12605   238.00000  17.92519             17.04923
467.42985   716.05672   335.00000  24.12831             18.79566
469.91111   767.46667   225.00000  20.44816             14.30663
470.16000   627.41500   200.00000  19.55498             13.13764
474.39024   943.25000   164.00000  16.56150             12.73509
477.88321   879.34672   274.00000  19.71374             17.84444
481.27925   1096.46415  265.00000  21.01482             16.30441
481.46154   899.83566   286.00000  22.75061             16.44559
483.75824   962.35165   273.00000  23.15951             15.66049
480.58491   929.47170   53.00000   10.58848             6.32912
483.94410   787.47826   161.00000  14.82333             13.96224
484.52304   813.39295   369.00000  27.91996             17.33246
490.37870   663.75148   169.00000  15.17326             14.22572
493.39700   738.81648   267.00000  21.56144             16.26371
506.83636   1451.99394  165.00000  19.26335             11.41120
508.40201   1007.37186  199.00000  19.11198             13.48978
513.03704   687.50617   81.00000   12.57128             8.23210
519.01230   1440.99180  244.00000  24.05909             12.96057
520.73364   1407.80841  214.00000  22.23446             12.32200
530.21147   1017.14695  279.00000  22.73231             15.78082
527.57669   995.71166   163.00000  16.08530             12.99120
531.25105   691.70293   239.00000  20.03154             15.23481
534.76025   1083.81073  317.00000  24.81990             16.93094
538.07692   1389.57895  247.00000  26.69427             12.21993
532.86087   728.27826   115.00000  12.88915             11.42877
545.30570   986.05181   193.00000  19.65709             12.58828
542.32203   1321.62712  177.00000  18.99889             12.17923
542.58015   748.88550   131.00000  14.28756             11.67415
546.51600   1050.50000  250.00000  20.99586             15.29869
545.35463   1189.25879  313.00000  25.73791             15.82765
547.24000   1457.54000  200.00000  19.81091             13.08513
551.25581   1149.28682  258.00000  21.06752             15.91638
552.35740   859.93141   277.00000  27.24468             13.10821
547.50000   1104.50000  32.00000   6.32456              6.32456
556.61429   1124.35000  280.00000  20.20475             17.83414
557.55118   789.07874   127.00000  15.03207             10.81875
561.01824   1006.85410  329.00000  24.77234             17.03110
558.41463   1176.29268  82.00000   12.85646             8.42499
563.93711   781.77987   159.00000  18.58839             11.12979
562.27848   945.66456   158.00000  15.86614             12.76503
565.47718   1105.32780  241.00000  22.58404             13.64096
569.42273   635.60455   220.00000  19.88082             14.51178
572.47980   888.01010   198.00000  18.37419             13.82565
575.97510   954.20332   241.00000  23.26613             13.40184
572.36842   1122.88995  209.00000  17.36065             15.37578
577.20455   820.77273   220.00000  20.10092             14.38885
580.71739   1088.15217  138.00000  16.14521             11.14605
589.71552   903.78161   348.00000  30.25958             15.62347
586.53043   868.25217   230.00000  20.98322             14.01468
591.06826   1214.04437  293.00000  25.41535             14.76881
593.22989   722.36207   174.00000  16.09487             13.85601
594.14523   1086.44398  241.00000  19.51258             15.81743
591.61404   1142.75439  57.00000   8.88624              8.18654
595.72956   1411.91824  159.00000  17.13390             12.08752
