Filename                         Protein-1    Protein-2    Num-puncta-1    Num-puncta-2    Num-Colocalized    Colocalization-1    Colocalization-2    Threshold
CLN3-561nm_416_bidi_60x_019.tif  BNI1         CLN3         242             132             80                 0.33058             0.60606             300
BNI1-640nm_416_bidi_60x_020.tif  BNI1         CLN3         528             353             214                0.40530             0.60623             300
CLN3-561nm_416_bidi_60x_020.tif  BNI1         CLN3         528             353             214                0.40530             0.60623             300
BNI1-640nm_416_bidi_60x_021.tif  BNI1         CLN3         250             138             83                 0.33200             0.60145             300
CLN3-561nm_416_bidi_60x_021.tif  BNI1         CLN3         250             138             83                 0.33200             0.60145             300
BNI1-640nm_416_ctrl_60x_001.tif  BNI1         CLN3         1275            2941            40                 0.03137             0.01360             300
CLN3-561nm_416_ctrl_60x_001.tif  BNI1         CLN3         1275            2941            40                 0.03137             0.01360             300
BNI1-640nm_416_ctrl_60x_002.tif  BNI1         CLN3         2252            2554            47                 0.02087             0.01840             300
CLN3-561nm_416_ctrl_60x_002.tif  BNI1         CLN3         2252            2554            47                 0.02087             0.01840             300
BNI1-640nm_416_ctrl_60x_003.tif  BNI1         CLN3         3013            2072            83                 0.02755             0.04006             300
CLN3-561nm_416_ctrl_60x_003.tif  BNI1         CLN3         3013            2072            83                 0.02755             0.04006             300
BNI1-640nm_416_ctrl_60x_004.tif  BNI1         CLN3         1773            3434            61                 0.03440             0.01776             300
CLN3-561nm_416_ctrl_60x_004.tif  BNI1         CLN3         1773            3434            61                 0.03440             0.01776             300
BNI1-640nm_416_ctrl_60x_005.tif  BNI1         CLN3         1235            1872            32                 0.02591             0.01709             300
CLN3-561nm_416_ctrl_60x_005.tif  BNI1         CLN3         1235            1872            32                 0.02591             0.01709             300
BNI1-640nm_416_ctrl_60x_006.tif  BNI1         CLN3         1158            2329            29                 0.02504             0.01245             300
CLN3-561nm_416_ctrl_60x_006.tif  BNI1         CLN3         1158            2329            29                 0.02504             0.01245             300
BNI1-640nm_416_ctrl_60x_007.tif  BNI1         CLN3         1777            2658            42                 0.02364             0.01580             300
CLN3-561nm_416_ctrl_60x_007.tif  BNI1         CLN3         1777            2658            42                 0.02364             0.01580             300
BNI1-640nm_416_ctrl_60x_008.tif  BNI1         CLN3         1885            915             96                 0.05093             0.10492             300
CLN3-561nm_416_ctrl_60x_008.tif  BNI1         CLN3         1885            915             96                 0.05093             0.10492             300
BNI1-640nm_416_ctrl_60x_009.tif  BNI1         CLN3         1464            1257            34                 0.02322             0.02705             300
CLN3-561nm_416_ctrl_60x_009.tif  BNI1         CLN3         1464            1257            34                 0.02322             0.02705             300
BNI1-640nm_416_ctrl_60x_010.tif  BNI1         CLN3         3380            3809            40                 0.01183             0.01050             300
CLN3-561nm_416_ctrl_60x_010.tif  BNI1         CLN3         3380            3809            40                 0.01183             0.01050             300
BNI1-640nm_416_ctrl_60x_011.tif  BNI1         CLN3         1581            2506            48                 0.03036             0.01915             300
CLN3-561nm_416_ctrl_60x_011.tif  BNI1         CLN3         1581            2506            48                 0.03036             0.01915             300
BNI1-640nm_416_ctrl_60x_012.tif  BNI1         CLN3         2586            545             93                 0.03596             0.17064             300
CLN3-561nm_416_ctrl_60x_012.tif  BNI1         CLN3         2586            545             93                 0.03596             0.17064             300
BNI1-640nm_416_ctrl_60x_013.tif  BNI1         CLN3         1300            2913            54                 0.04154             0.01854             300
CLN3-561nm_416_ctrl_60x_013.tif  BNI1         CLN3         1300            2913            54                 0.04154             0.01854             300
BNI1-640nm_416_ctrl_60x_014.tif  BNI1         CLN3         2861            2064            96                 0.03355             0.04651             300
CLN3-561nm_416_ctrl_60x_014.tif  BNI1         CLN3         2861            2064            96                 0.03355             0.04651             300
BNI1-640nm_416_ctrl_60x_015.tif  BNI1         CLN3         264             2125            20                 0.07576             0.00941             300
CLN3-561nm_416_ctrl_60x_015.tif  BNI1         CLN3         264             2125            20                 0.07576             0.00941             300
