# Filename: CLN3-561nm_416_ctrl_60x_009.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108)
Y     X     NUM_PUNCTA    CLUSTER_ID
96    1096  2             0
102   1125  2             1
204   1077  2             2
872   732   2             3
1083  1285  2             4
1240  791   2             5
1325  488   2             6
1368  468   2             7
86    1083  2             8
210   1079  2             9
216   1556  2             10
318   647   10            11
337   669   3             12
430   1655  2             13
539   1535  2             14
571   1393  2             15
575   1317  2             16
592   907   2             17
593   789   2             18
604   1281  2             19
630   1269  2             20
635   983   2             21
649   1080  2             22
655   1543  2             23
657   1145  2             24
691   1378  2             25
710   1054  2             26
722   1139  2             27
759   1042  2             28
772   1211  2             29
779   1318  2             30
782   1196  2             31
786   590   2             32
791   1207  2             33
797   629   2             34
800   642   2             35
806   1029  3             36
810   1192  2             37
822   1047  2             38
826   1257  2             39
833   694   2             40
836   938   2             41
840   688   4             42
841   999   2             43
842   1075  2             44
846   669   2             45
848   863   2             46
850   868   2             47
854   1250  2             48
856   879   2             49
856   1296  2             50
857   1193  2             51
859   710   2             52
859   1145  2             53
862   732   2             54
863   1241  3             55
864   720   2             56
864   830   2             57
869   907   2             58
872   718   2             59
876   782   2             60
879   938   2             61
881   962   2             62
884   1172  2             63
886   303   2             64
887   983   3             65
892   1125  2             66
897   759   4             67
896   797   2             68
898   782   2             69
901   140   6             70
900   750   2             71
901   1220  2             72
911   776   2             73
913   739   2             74
912   1294  2             75
914   120   2             76
914   309   2             77
917   710   2             78
920   938   4             79
919   815   2             80
925   837   2             81
928   815   2             82
929   706   2             83
931   699   2             84
932   1251  2             85
933   834   2             86
933   737   2             87
935   866   2             88
942   724   2             89
947   683   2             90
950   713   2             91
948   715   2             92
947   835   3             93
950   889   2             94
950   861   2             95
957   731   3             96
960   805   4             97
973   704   2             98
978   700   2             99
984   684   2             100
985   675   2             101
986   1284  2             102
989   654   2             103
991   928   2             104
1000  767   2             105
1004  418   2             106
1005  781   3             107
1007  943   2             108
1010  625   2             109
1013  442   2             110
1020  822   2             111
1028  828   2             112
1030  1134  2             113
1042  1256  2             114
1050  829   2             115
1051  507   2             116
1063  1300  2             117
1068  1330  2             118
1071  897   2             119
1072  1344  2             120
1087  1284  4             121
1086  1174  2             122
1093  793   2             123
1096  1364  2             124
1099  792   3             125
1103  1112  2             126
1105  748   2             127
1106  795   2             128
1106  502   2             129
1112  518   2             130
1116  586   2             131
1117  633   2             132
1119  826   2             133
1120  762   2             134
1127  1389  2             135
1130  592   2             136
1131  783   2             137
1132  792   2             138
1136  666   2             139
1137  830   2             140
1140  704   2             141
1145  1394  3             142
1148  704   2             143
1150  471   8             144
1152  530   2             145
1157  538   3             146
1158  599   3             147
1158  816   2             148
1159  781   2             149
1161  1131  3             150
1166  1316  2             151
1168  614   2             152
1169  642   2             153
1170  1193  2             154
1170  762   2             155
1178  1220  2             156
1182  488   2             157
1183  927   2             158
1189  763   2             159
1190  521   2             160
1190  1192  2             161
1192  766   2             162
1197  754   2             163
1200  943   2             164
1200  1123  4             165
1207  552   2             166
1209  961   2             167
1211  517   2             168
1214  476   2             169
1213  932   2             170
1216  1120  2             171
1216  319   2             172
1219  1495  2             173
1227  510   2             174
1228  314   2             175
1238  669   2             176
1244  678   2             177
1245  490   2             178
1248  323   2             179
1248  639   2             180
1254  662   2             181
1255  1187  2             182
1257  712   2             183
1262  579   2             184
1268  957   2             185
1279  599   2             186
1282  544   2             187
1283  580   2             188
1285  296   2             189
1293  1159  2             190
1293  553   2             191
1305  434   2             192
1329  1005  2             193
1329  632   2             194
1331  290   2             195
1335  279   5             196
1335  452   2             197
1354  640   3             198
1356  566   2             199
1366  585   2             200
1368  590   2             201
1411  718   2             202
1521  1142  2             203
1606  700   2             204
1609  1165  2             205
1655  1187  6             206
