# C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol
4.820e-03 3.778e-03 1.713e-01 1.403e-01 5.560e-04 4.756e-04 1.281e-04 8.166e-05 3.118e-06 3.687e-06
4.963e-03 3.269e-03 1.774e-01 1.307e-01 0.000e+00 0.000e+00 3.687e-04 7.344e-05 0.000e+00 0.000e+00
8.716e-03 1.861e-03 1.885e-01 1.055e-01 0.000e+00 0.000e+00 5.716e-03 3.639e-04 0.000e+00 0.000e+00
4.832e-03 2.295e-03 1.830e-01 1.214e-01 6.541e-04 5.940e-04 1.235e-03 1.171e-04 1.278e-05 5.358e-06
6.120e-03 1.812e-03 1.861e-01 1.111e-01 0.000e+00 0.000e+00 3.097e-03 2.113e-04 0.000e+00 0.000e+00
4.976e-03 1.866e-03 1.873e-01 1.182e-01 0.000e+00 0.000e+00 2.010e-03 1.710e-04 0.000e+00 0.000e+00
4.976e-03 1.866e-03 1.873e-01 1.182e-01 0.000e+00 0.000e+00 2.010e-03 1.710e-04 0.000e+00 0.000e+00
4.799e-03 1.421e-03 1.867e-01 1.153e-01 0.000e+00 0.000e+00 2.529e-03 1.841e-04 0.000e+00 0.000e+00
3.789e-03 1.800e-03 1.848e-01 1.247e-01 0.000e+00 0.000e+00 1.023e-03 1.014e-04 0.000e+00 0.000e+00
2.755e-03 1.814e-03 1.743e-01 1.304e-01 0.000e+00 0.000e+00 3.107e-04 7.233e-05 0.000e+00 0.000e+00
2.334e-03 1.830e-03 1.732e-01 1.411e-01 0.000e+00 0.000e+00 1.298e-04 9.796e-05 0.000e+00 0.000e+00
1.701e-03 1.810e-03 1.597e-01 1.510e-01 0.000e+00 0.000e+00 5.244e-05 2.611e-04 0.000e+00 0.000e+00
1.260e-03 1.821e-03 1.539e-01 1.545e-01 6.188e-04 6.099e-04 4.327e-05 5.772e-04 2.309e-06 8.077e-06
