#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
8.896e-03 1.447e-01 1.584e-02 5.291e-02 1.603e-04 3.986e-04 6.728e-03 1.372e-01 1.512e-05 9.315e-05 
2.315e-01 5.560e-03 3.645e-01 9.248e-03 1.140e-03 1.879e-04 2.264e-02 4.919e-04 1.039e-03 2.328e-05 
9.023e-03 1.045e-01 1.543e-02 5.166e-02 1.593e-04 2.176e-04 6.016e-03 9.583e-02 5.169e-05 1.378e-04 
1.672e-01 5.639e-03 3.742e-01 1.296e-02 1.520e-03 2.386e-04 3.254e-03 9.595e-05 1.077e-03 3.440e-05 
9.090e-03 5.858e-02 9.423e-02 1.870e-01 3.622e-04 5.573e-04 1.136e-03 4.180e-02 1.228e-05 6.517e-05 
9.373e-02 5.681e-03 3.778e-01 2.327e-02 8.412e-04 7.836e-04 1.319e-04 1.745e-06 4.970e-06 3.256e-07 
8.926e-03 3.814e-02 1.198e-01 2.028e-01 5.078e-04 4.218e-04 2.432e-04 2.205e-02 5.445e-06 3.544e-05 
6.103e-02 5.579e-03 3.763e-01 3.424e-02 0.000e+00 0.000e+00 1.385e-04 2.618e-06 0.000e+00 0.000e+00 
8.568e-03 2.675e-02 1.375e-01 2.071e-01 0.000e+00 0.000e+00 8.147e-05 1.268e-02 0.000e+00 0.000e+00 
4.280e-02 5.355e-03 3.613e-01 4.590e-02 7.902e-04 2.781e-04 1.311e-04 3.026e-06 5.477e-06 5.360e-07 
8.755e-03 2.109e-02 1.522e-01 2.085e-01 6.863e-04 3.760e-04 3.736e-05 7.976e-03 2.195e-06 2.697e-05 
3.374e-02 5.472e-03 3.474e-01 5.883e-02 0.000e+00 0.000e+00 1.249e-04 4.410e-06 0.000e+00 0.000e+00 
8.752e-03 1.552e-02 1.685e-01 2.058e-01 6.884e-04 6.563e-04 1.547e-05 3.940e-03 2.252e-06 1.906e-05 
2.483e-02 5.470e-03 3.312e-01 7.381e-02 6.322e-04 4.662e-04 1.044e-04 6.246e-06 2.290e-06 6.319e-07 
8.511e-03 1.112e-02 1.881e-01 1.975e-01 3.205e-04 3.729e-04 1.304e-05 1.590e-03 1.529e-06 1.215e-05 
1.779e-02 5.319e-03 3.109e-01 9.366e-02 1.474e-03 5.793e-04 8.920e-05 1.341e-05 3.167e-06 9.045e-07 
8.832e-03 9.695e-03 2.004e-01 1.891e-01 4.094e-04 5.781e-04 1.072e-05 8.340e-04 7.420e-07 9.799e-06 
1.551e-02 5.520e-03 2.988e-01 1.045e-01 7.394e-04 4.064e-04 6.873e-05 2.005e-05 1.997e-06 1.310e-06 
8.616e-03 6.820e-03 2.293e-01 1.686e-01 1.028e-03 5.497e-04 1.538e-05 2.359e-04 1.268e-06 3.163e-06 
1.091e-02 5.385e-03 2.702e-01 1.292e-01 6.551e-04 9.617e-04 4.235e-05 4.869e-05 2.191e-06 3.014e-06 
8.696e-03 5.435e-03 2.493e-01 1.503e-01 5.581e-04 7.321e-04 2.554e-05 9.823e-05 4.389e-06 3.001e-06 
8.696e-03 5.435e-03 2.493e-01 1.503e-01 5.581e-04 7.321e-04 2.554e-05 9.823e-05 4.389e-06 3.001e-06 
8.505e-03 4.197e-03 2.736e-01 1.313e-01 0.000e+00 0.000e+00 4.633e-05 4.599e-05 0.000e+00 0.000e+00 
6.715e-03 5.316e-03 2.297e-01 1.671e-01 0.000e+00 0.000e+00 1.057e-05 2.361e-04 0.000e+00 0.000e+00 
8.536e-03 3.038e-03 2.997e-01 1.039e-01 0.000e+00 0.000e+00 7.484e-05 1.768e-05 0.000e+00 0.000e+00 
