#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.521e-02 2.473e-01 2.407e-02 3.773e-01 2.061e-04 8.415e-04 2.412e-03 4.591e-02 2.206e-05 9.952e-05
3.957e-01 9.503e-03 4.101e-01 1.028e-02 7.341e-04 1.190e-04 3.808e-01 9.257e-03 1.235e-04 3.302e-05
1.544e-02 1.788e-01 3.696e-02 3.945e-01 4.549e-04 1.766e-03 1.084e-03 1.410e-02 3.072e-04 3.785e-03
2.861e-01 9.649e-03 4.299e-01 1.478e-02 2.959e-03 3.370e-04 4.660e-02 1.667e-03 2.505e-04 1.222e-05
1.558e-02 1.004e-01 6.774e-02 3.917e-01 4.895e-04 8.949e-04 8.427e-07 2.665e-04 3.054e-07 4.514e-06
1.606e-01 9.736e-03 4.458e-01 2.599e-02 1.864e-03 2.384e-04 2.159e-05 2.632e-05 1.368e-06 1.267e-06
9.023e-03 1.045e-01 4.002e-02 4.147e-01 4.335e-04 9.853e-04 4.427e-07 2.618e-04 1.480e-07 4.269e-06
1.672e-01 5.639e-03 4.610e-01 1.544e-02 2.034e-03 1.621e-04 2.310e-05 1.935e-05 1.456e-06 1.375e-06
1.554e-02 6.639e-02 9.526e-02 3.716e-01 7.540e-04 7.517e-04 2.183e-06 2.368e-04 3.436e-07 4.458e-06
1.062e-01 9.711e-03 4.585e-01 3.776e-02 1.171e-03 2.889e-04 2.178e-05 4.029e-05 9.701e-07 1.900e-06
1.520e-02 4.745e-02 1.208e-01 3.466e-01 5.579e-04 1.435e-03 2.349e-06 2.182e-04 3.607e-07 3.867e-06
7.592e-02 9.499e-03 4.423e-01 5.273e-02 1.042e-03 4.258e-04 2.661e-05 4.616e-05 1.864e-06 2.062e-06
1.551e-02 3.735e-02 1.452e-01 3.268e-01 7.721e-04 6.059e-04 2.422e-06 1.933e-04 4.523e-07 5.017e-06
5.976e-02 9.691e-03 4.282e-01 6.246e-02 9.685e-04 6.831e-04 2.131e-05 4.938e-05 1.522e-06 2.107e-06
2.785e-03 4.530e-02 3.006e-02 4.302e-01 3.504e-04 9.391e-04 8.720e-07 2.411e-04 3.165e-07 4.917e-06
7.248e-02 1.741e-03 4.834e-01 1.059e-02 1.502e-03 2.294e-04 3.385e-05 1.074e-05 1.744e-06 9.952e-07
1.530e-02 2.713e-02 1.847e-01 2.919e-01 1.640e-03 7.119e-04 7.746e-06 1.625e-04 1.261e-06 5.739e-06
4.340e-02 9.560e-03 4.106e-01 8.143e-02 1.618e-03 9.535e-04 1.554e-05 6.385e-05 8.525e-07 2.865e-06
1.510e-02 1.972e-02 2.158e-01 2.592e-01 7.964e-04 1.057e-03 3.799e-06 1.380e-04 5.185e-07 2.476e-06
3.156e-02 9.436e-03 3.849e-01 1.066e-01 9.668e-04 9.514e-04 1.266e-05 8.090e-05 1.004e-06 2.735e-06
1.542e-02 1.693e-02 2.413e-01 2.346e-01 1.430e-03 1.209e-03 6.673e-06 1.350e-04 6.434e-07 5.366e-06
2.708e-02 9.637e-03 3.666e-01 1.214e-01 8.186e-04 5.517e-04 1.306e-05 7.369e-05 8.615e-07 2.900e-06
8.755e-03 2.109e-02 1.459e-01 3.271e-01 4.070e-04 7.049e-04 1.944e-06 1.683e-04 2.833e-07 3.929e-06
3.374e-02 5.472e-03 4.279e-01 6.520e-02 1.077e-03 5.371e-04 1.866e-05 3.998e-05 1.877e-06 2.828e-06
1.525e-02 1.207e-02 2.800e-01 2.027e-01 4.144e-04 8.624e-04 8.923e-06 1.081e-04 8.424e-07 3.701e-06
1.931e-02 9.528e-03 3.306e-01 1.514e-01 1.101e-03 1.396e-03 9.218e-06 9.071e-05 5.869e-07 2.208e-06
1.544e-02 9.652e-03 2.981e-01 1.795e-01 1.761e-03 6.309e-04 8.800e-06 9.884e-05 9.408e-07 1.678e-06
1.581e-03 1.832e-02 4.168e-02 4.165e-01 2.593e-04 7.194e-04 4.254e-07 2.174e-04 1.851e-07 3.563e-06
2.931e-02 9.884e-04 4.778e-01 1.391e-02 9.659e-04 4.050e-04 2.070e-05 1.267e-05 1.307e-06 1.072e-06
1.509e-02 7.445e-03 3.328e-01 1.518e-01 7.794e-04 6.569e-04 6.667e-06 9.522e-05 7.528e-07 4.137e-06
1.191e-02 9.429e-03 2.773e-01 2.013e-01 8.700e-04 6.972e-04 9.730e-06 9.856e-05 1.062e-06 3.210e-06
1.512e-02 5.382e-03 3.704e-01 1.190e-01 1.238e-03 4.070e-04 1.217e-05 6.514e-05 1.391e-06 2.981e-06
8.612e-03 9.453e-03 2.401e-01 2.391e-01 4.265e-04 5.873e-04 3.114e-06 1.259e-04 4.785e-07 3.997e-06
1.527e-02 4.567e-03 3.813e-01 1.076e-01 1.261e-03 1.132e-03 1.193e-05 5.471e-05 1.200e-06 1.809e-06
