#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
8.896e-03 1.158e-01 1.750e-02 4.762e-02 2.394e-04 3.990e-04 6.343e-03 1.085e-01 2.777e-05 1.006e-04 
2.315e-01 4.448e-03 4.497e-02 1.298e-02 3.099e-04 1.403e-04 2.244e-01 3.933e-03 6.095e-05 2.239e-05 
9.023e-03 8.360e-02 1.726e-02 4.709e-02 1.637e-04 3.506e-04 5.619e-03 7.516e-02 5.087e-05 1.118e-04 
1.672e-01 4.511e-03 4.573e-02 1.270e-02 5.598e-04 1.850e-04 1.609e-01 3.850e-03 9.707e-05 1.202e-05 
9.090e-03 4.687e-02 9.622e-02 1.721e-01 4.048e-04 4.882e-04 1.023e-03 3.129e-02 1.153e-05 4.773e-05 
9.373e-02 4.545e-03 4.830e-02 1.279e-02 3.401e-04 1.572e-04 8.840e-02 3.692e-03 7.133e-05 1.591e-05 
8.926e-03 3.051e-02 1.206e-01 1.893e-01 6.885e-04 6.874e-04 2.432e-04 1.565e-02 4.242e-06 4.159e-05 
6.103e-02 4.463e-03 4.838e-02 1.277e-02 2.419e-04 1.466e-04 5.587e-02 3.389e-03 9.801e-05 1.319e-05 
8.568e-03 2.140e-02 1.346e-01 1.938e-01 4.934e-04 9.245e-04 6.938e-05 8.228e-03 3.371e-06 2.549e-05 
4.280e-02 4.284e-03 1.787e-01 7.136e-02 4.614e-04 2.639e-04 3.654e-02 2.079e-03 5.122e-05 1.459e-05 
8.755e-03 1.687e-02 1.469e-01 1.958e-01 3.506e-04 7.385e-04 3.190e-05 4.486e-03 2.042e-06 3.319e-05 
3.374e-02 4.377e-03 1.963e-01 8.748e-02 4.239e-04 3.788e-04 2.498e-02 9.640e-04 5.123e-05 9.510e-06 
8.752e-03 1.242e-02 1.604e-01 1.927e-01 4.163e-04 6.569e-04 6.354e-06 1.419e-03 4.799e-07 1.292e-05 
2.483e-02 4.376e-03 2.098e-01 1.034e-01 7.005e-04 4.613e-04 1.572e-02 4.396e-04 4.126e-05 5.500e-06 
8.511e-03 8.895e-03 1.790e-01 1.829e-01 6.869e-04 4.413e-04 4.994e-06 1.353e-04 7.308e-07 3.173e-06 
1.779e-02 4.255e-03 2.132e-01 1.157e-01 1.143e-03 6.221e-04 9.193e-03 2.065e-04 2.773e-05 5.692e-06 
8.832e-03 7.756e-03 1.890e-01 1.693e-01 7.616e-04 5.752e-04 1.292e-05 2.192e-05 1.283e-06 1.782e-06 
1.551e-02 4.416e-03 2.142e-01 1.206e-01 8.314e-04 5.641e-04 6.840e-03 1.344e-04 2.938e-05 3.572e-06 
8.616e-03 5.456e-03 2.070e-01 1.494e-01 8.298e-04 1.082e-03 5.165e-04 1.885e-05 4.828e-06 9.107e-07 
1.091e-02 4.308e-03 2.133e-01 1.313e-01 6.779e-04 6.347e-04 3.092e-03 5.643e-05 1.391e-05 2.850e-06 
8.696e-03 4.348e-03 2.089e-01 1.385e-01 0.000e+00 0.000e+00 1.473e-03 2.837e-05 0.000e+00 0.000e+00 
8.696e-03 4.348e-03 2.089e-01 1.385e-01 0.000e+00 0.000e+00 1.473e-03 2.837e-05 0.000e+00 0.000e+00 
8.505e-03 3.358e-03 2.123e-01 1.324e-01 7.394e-04 4.161e-04 2.574e-03 4.369e-05 1.847e-05 2.370e-06 
6.715e-03 4.253e-03 2.065e-01 1.499e-01 4.875e-04 6.479e-04 4.679e-04 1.431e-05 6.944e-06 1.278e-06 
8.536e-03 2.430e-03 2.124e-01 1.272e-01 7.885e-04 7.698e-04 4.012e-03 7.481e-05 3.337e-05 4.559e-06 
4.860e-03 4.268e-03 1.898e-01 1.699e-01 5.427e-04 4.926e-04 1.626e-05 1.817e-05 1.721e-06 1.499e-06 
8.694e-03 2.080e-03 2.139e-01 1.247e-01 8.868e-04 6.831e-04 4.776e-03 9.153e-05 3.249e-05 2.111e-06 
4.159e-03 4.347e-03 1.808e-01 1.825e-01 4.817e-04 4.537e-04 5.686e-06 1.212e-04 5.793e-07 5.615e-06 
8.590e-03 1.514e-03 2.151e-01 1.235e-01 7.815e-04 6.597e-04 5.712e-03 1.180e-04 1.463e-05 3.462e-06 
3.028e-03 4.295e-03 1.635e-01 1.857e-01 0.000e+00 0.000e+00 7.849e-06 7.178e-04 0.000e+00 0.000e+00 
8.529e-03 1.106e-03 2.162e-01 1.222e-01 7.051e-04 5.608e-04 6.508e-03 1.425e-04 2.323e-05 3.294e-06 
2.213e-03 4.264e-03 1.579e-01 1.905e-01 6.143e-04 6.239e-04 1.304e-05 1.488e-03 1.336e-06 1.193e-05 
8.612e-03 8.620e-04 2.172e-01 1.232e-01 1.000e-03 8.201e-04 7.153e-03 1.623e-04 3.669e-05 3.953e-06 
1.724e-03 4.306e-03 1.554e-01 1.927e-01 5.660e-04 3.319e-04 1.397e-05 2.098e-03 1.025e-06 1.169e-05 
8.681e-03 6.349e-04 2.152e-01 1.206e-01 6.919e-04 3.463e-04 7.738e-03 1.956e-04 2.228e-05 3.739e-06 
1.270e-03 4.341e-03 1.536e-01 1.938e-01 4.245e-04 4.230e-04 1.699e-05 2.573e-03 1.303e-06 1.295e-05 
8.577e-03 4.159e-04 2.046e-01 1.150e-01 6.695e-04 4.843e-04 8.110e-03 2.545e-04 2.645e-05 5.222e-06 
8.317e-04 4.288e-03 1.496e-01 1.916e-01 4.894e-04 4.536e-04 2.376e-05 3.143e-03 2.095e-06 2.190e-05 
8.604e-03 2.321e-04 3.576e-02 1.376e-02 3.117e-04 1.845e-04 7.876e-03 1.724e-04 3.369e-05 4.318e-06 
4.643e-04 4.302e-03 1.486e-01 1.916e-01 6.379e-04 5.423e-04 3.300e-05 3.688e-03 1.754e-06 2.030e-05 
8.734e-03 8.548e-05 3.165e-02 1.206e-02 4.195e-04 1.136e-04 7.990e-03 6.302e-05 2.380e-05 1.896e-06 
1.710e-04 4.367e-03 3.258e-02 4.768e-02 9.607e-04 1.277e-03 1.057e-04 4.027e-03 2.603e-06 1.509e-05 
8.502e-03 4.294e-05 3.081e-02 1.158e-02 3.753e-04 2.480e-04 7.929e-03 3.506e-05 2.749e-05 2.010e-06 
8.588e-05 4.251e-03 2.346e-02 3.514e-02 1.975e-04 2.462e-04 5.047e-05 3.935e-03 2.295e-06 2.879e-05 
4.921e-03 6.404e-02 1.996e-02 4.880e-02 1.707e-04 4.723e-04 3.203e-03 5.859e-02 1.523e-05 2.926e-05 
