#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.515e-02 3.674e-04 4.878e-01 5.740e-03 9.426e-04 1.043e-04 1.092e-05 1.601e-04 1.041e-06 9.336e-06
1.470e-03 3.789e-03 3.570e-01 8.635e-02 1.120e-03 2.570e-04 8.030e-05 3.343e-03 2.136e-06 3.869e-05
1.509e-02 2.035e-04 4.892e-01 3.024e-03 7.936e-04 7.750e-05 1.236e-05 8.770e-05 1.515e-06 5.520e-06
8.142e-04 3.772e-03 3.436e-01 8.667e-02 1.145e-03 3.097e-04 7.370e-05 3.460e-03 3.500e-06 3.623e-05
1.526e-02 7.467e-05 4.927e-01 1.128e-03 6.447e-04 6.368e-05 1.372e-05 3.406e-05 1.260e-06 1.086e-06
2.987e-04 3.814e-03 4.208e-04 4.299e-03 2.331e-05 9.204e-05 2.086e-04 3.503e-03 7.151e-06 3.387e-05
1.507e-02 3.805e-05 4.905e-01 4.339e-04 1.326e-03 4.371e-05 1.674e-05 1.601e-05 1.119e-06 1.491e-06
1.522e-04 3.767e-03 2.112e-04 4.353e-03 2.854e-05 1.304e-04 1.051e-04 3.391e-03 5.646e-06 1.629e-05
8.505e-03 1.679e-03 4.448e-01 3.224e-02 8.485e-04 2.736e-04 2.097e-05 9.381e-04 1.551e-06 1.120e-05
6.715e-03 2.126e-03 4.285e-01 4.340e-02 1.096e-03 2.965e-04 2.167e-05 1.288e-03 1.826e-06 1.180e-05
8.896e-03 5.788e-02 4.744e-02 1.184e-01 2.708e-03 3.822e-03 3.912e-03 4.575e-02 8.819e-05 1.125e-04
2.315e-01 2.224e-03 4.604e-01 3.616e-03 6.394e-04 7.737e-05 1.001e-03 1.547e-04 2.766e-04 3.713e-06
9.090e-03 2.343e-02 1.993e-01 1.578e-01 7.277e-04 8.164e-04 5.359e-04 1.374e-02 7.706e-06 2.885e-05
9.373e-02 2.272e-03 4.810e-01 8.840e-03 1.160e-03 1.470e-04 1.467e-05 2.722e-04 1.229e-06 6.477e-06
8.926e-03 1.526e-02 2.493e-01 1.405e-01 7.601e-04 3.283e-04 2.427e-04 8.447e-03 7.206e-06 2.564e-05
6.103e-02 2.232e-03 4.803e-01 1.229e-02 1.406e-03 9.481e-05 1.557e-05 3.709e-04 1.169e-06 6.108e-06
8.568e-03 1.070e-02 2.883e-01 1.219e-01 1.395e-03 4.219e-04 1.350e-04 5.886e-03 3.460e-06 2.522e-05
4.280e-02 2.142e-03 4.711e-01 1.576e-02 9.249e-04 1.919e-04 1.622e-05 4.781e-04 1.655e-06 1.123e-05
8.752e-03 6.208e-03 3.503e-01 8.841e-02 6.068e-04 3.089e-04 5.899e-05 3.315e-03 1.901e-06 3.783e-05
2.483e-02 2.188e-03 4.612e-01 2.364e-02 9.563e-04 2.643e-04 2.346e-05 7.053e-04 3.010e-06 9.974e-06
8.511e-03 4.447e-03 3.810e-01 7.199e-02 7.095e-04 5.451e-04 3.672e-05 2.426e-03 1.380e-06 1.674e-05
1.779e-02 2.128e-03 4.518e-01 2.769e-02 1.077e-03 3.360e-04 1.889e-05 8.248e-04 1.392e-06 7.078e-06
8.832e-03 3.878e-03 3.933e-01 6.404e-02 6.721e-04 3.075e-04 3.101e-05 2.101e-03 1.812e-06 1.840e-05
1.551e-02 2.208e-03 4.457e-01 3.110e-02 6.622e-04 2.141e-04 1.884e-05 9.199e-04 1.073e-06 9.056e-06
5.015e-03 4.833e-03 3.525e-01 8.665e-02 6.580e-04 5.809e-04 6.484e-05 3.143e-03 2.323e-06 2.588e-05
1.933e-02 1.254e-03 4.734e-01 1.661e-02 7.680e-04 2.594e-04 1.620e-05 4.808e-04 1.542e-06 9.880e-06
8.616e-03 2.728e-03 4.158e-01 4.913e-02 9.279e-04 3.841e-04 2.829e-05 1.491e-03 1.807e-06 1.045e-05
1.091e-02 2.154e-03 4.393e-01 3.701e-02 9.248e-04 2.821e-04 2.296e-05 1.084e-03 2.029e-06 1.069e-05
8.536e-03 1.215e-03 4.597e-01 2.386e-02 7.440e-04 2.523e-04 1.518e-05 6.674e-04 1.909e-06 6.961e-06
4.860e-03 2.134e-03 4.201e-01 4.803e-02 4.544e-04 6.032e-04 2.811e-05 1.468e-03 3.600e-06 1.322e-05
2.760e-03 2.659e-03 3.926e-01 6.304e-02 5.521e-04 3.933e-04 3.865e-05 2.078e-03 2.277e-06 2.196e-05
1.064e-02 6.899e-04 4.799e-01 1.241e-02 6.388e-04 2.151e-04 1.383e-05 3.408e-04 1.551e-06 8.511e-06
8.694e-03 1.040e-03 4.658e-01 2.075e-02 9.326e-04 2.028e-04 1.779e-05 5.729e-04 1.734e-06 1.148e-05
4.159e-03 2.173e-03 4.161e-01 5.069e-02 6.448e-04 4.336e-04 2.767e-05 1.522e-03 1.961e-06 1.789e-05
8.590e-03 7.569e-04 4.702e-01 1.555e-02 1.556e-03 2.031e-04 1.724e-05 4.369e-04 1.052e-06 5.520e-06
3.028e-03 2.148e-03 4.129e-01 5.386e-02 1.393e-03 4.172e-04 2.352e-05 1.663e-03 1.553e-06 9.699e-06
8.529e-03 5.532e-04 4.759e-01 1.110e-02 4.315e-04 1.499e-04 1.276e-05 3.176e-04 1.480e-06 5.830e-06
