#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.521e-02 2.968e-01 1.749e-02 7.688e-02 1.819e-04 4.391e-04 1.305e-02 2.890e-01 3.165e-05 1.466e-04 
3.957e-01 1.140e-02 4.127e-01 1.077e-02 6.076e-04 2.244e-04 3.837e-01 1.141e-02 2.238e-04 3.750e-05 
1.544e-02 2.146e-01 1.863e-02 8.225e-02 0.000e+00 0.000e+00 1.298e-02 2.066e-01 0.000e+00 0.000e+00 
2.861e-01 1.158e-02 3.212e-01 1.279e-02 1.959e-03 1.776e-04 1.232e-01 4.371e-03 4.653e-03 1.862e-04 
1.558e-02 1.205e-01 2.847e-02 9.789e-02 0.000e+00 0.000e+00 9.101e-03 1.048e-01 0.000e+00 0.000e+00 
1.606e-01 1.168e-02 3.695e-01 2.944e-02 0.000e+00 0.000e+00 6.708e-03 4.198e-04 0.000e+00 0.000e+00 
1.554e-02 7.967e-02 9.040e-02 1.998e-01 8.537e-04 1.237e-03 8.090e-04 4.680e-02 1.551e-05 8.617e-05 
1.062e-01 1.165e-02 3.608e-01 3.855e-02 8.401e-04 3.385e-04 1.132e-04 2.480e-07 2.485e-06 1.322e-07 
1.520e-02 5.694e-02 1.163e-01 2.173e-01 5.793e-04 4.465e-04 2.156e-04 2.675e-02 6.917e-06 6.298e-05 
7.592e-02 1.140e-02 3.569e-01 5.557e-02 0.000e+00 0.000e+00 1.183e-04 1.482e-06 0.000e+00 0.000e+00 
1.551e-02 4.482e-02 1.314e-01 2.194e-01 9.130e-04 1.170e-03 6.377e-05 1.642e-02 2.820e-06 2.785e-05 
5.976e-02 1.163e-02 3.403e-01 6.931e-02 8.053e-04 5.034e-04 1.263e-04 2.592e-07 3.004e-06 1.260e-07 
1.530e-02 3.255e-02 1.502e-01 2.215e-01 8.065e-04 9.817e-04 1.106e-05 7.874e-03 1.135e-06 4.312e-05 
4.340e-02 1.147e-02 3.279e-01 8.961e-02 6.579e-04 3.566e-04 9.200e-05 2.515e-06 3.769e-06 4.973e-07 
1.510e-02 2.367e-02 1.687e-01 2.151e-01 0.000e+00 0.000e+00 4.886e-06 2.985e-03 0.000e+00 0.000e+00 
