#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.521e-02 2.473e-01 1.776e-02 6.655e-02 1.590e-04 2.112e-04 1.277e-02 2.391e-01 4.568e-05 9.437e-05 
3.957e-01 9.503e-03 6.135e-02 1.541e-02 6.839e-04 1.109e-04 3.881e-01 8.657e-03 1.591e-04 2.676e-05 
1.544e-02 1.788e-01 1.910e-02 7.078e-02 2.271e-04 3.215e-04 1.246e-02 1.705e-01 4.174e-05 1.089e-04 
2.861e-01 9.649e-03 6.051e-02 1.426e-02 3.195e-04 1.308e-04 2.790e-01 8.584e-03 1.345e-04 1.796e-05 
1.558e-02 1.004e-01 4.883e-02 1.291e-01 1.421e-03 2.720e-03 5.236e-03 7.713e-02 1.101e-04 2.304e-04 
1.606e-01 9.736e-03 5.609e-02 1.128e-02 6.381e-04 2.001e-04 1.534e-01 8.076e-03 8.590e-05 2.342e-05 
1.554e-02 6.639e-02 9.506e-02 1.909e-01 4.773e-04 7.507e-04 5.438e-04 3.498e-02 6.507e-06 5.274e-05 
1.062e-01 9.711e-03 6.007e-02 1.227e-02 3.532e-04 1.633e-04 9.767e-02 7.251e-03 1.217e-04 3.956e-05 
1.520e-02 4.745e-02 1.196e-01 2.075e-01 4.908e-04 2.987e-04 1.417e-04 1.901e-02 4.480e-06 3.203e-05 
7.592e-02 9.499e-03 1.690e-01 5.757e-02 6.657e-04 6.107e-04 5.739e-02 3.073e-03 1.152e-04 3.912e-05 
1.551e-02 3.735e-02 1.334e-01 2.122e-01 6.709e-04 6.810e-04 4.683e-05 1.077e-02 2.192e-06 2.873e-05 
5.976e-02 9.691e-03 2.029e-01 8.255e-02 0.000e+00 0.000e+00 3.721e-02 1.002e-03 0.000e+00 0.000e+00 
1.530e-02 2.713e-02 1.527e-01 2.142e-01 0.000e+00 0.000e+00 7.576e-06 4.024e-03 0.000e+00 0.000e+00 
4.340e-02 9.560e-03 2.183e-01 1.038e-01 8.428e-04 5.670e-04 2.167e-02 3.284e-04 5.724e-05 7.431e-06 
1.510e-02 1.972e-02 1.745e-01 2.110e-01 6.200e-04 6.845e-04 1.567e-06 6.390e-04 3.584e-07 4.609e-06 
3.156e-02 9.436e-03 2.252e-01 1.201e-01 6.751e-04 8.959e-04 1.183e-02 1.091e-04 2.681e-05 3.123e-06 
