#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.521e-02 1.979e-01 1.907e-02 5.499e-02 2.172e-04 2.933e-04 1.240e-02 1.896e-01 2.439e-05 9.878e-05 
3.957e-01 7.603e-03 4.118e-01 7.285e-03 6.125e-04 1.231e-04 3.842e-01 7.520e-03 2.269e-04 3.818e-05 
1.544e-02 1.431e-01 1.941e-02 5.859e-02 2.386e-04 8.618e-04 1.192e-02 1.348e-01 4.159e-05 7.563e-05 
2.861e-01 7.720e-03 3.320e-01 8.371e-03 1.061e-03 1.610e-04 9.851e-02 2.591e-03 6.519e-04 1.878e-05 
1.558e-02 8.032e-02 6.589e-02 1.353e-01 5.523e-04 6.474e-04 3.609e-03 5.669e-02 1.606e-05 6.921e-05 
1.606e-01 7.789e-03 3.733e-01 1.803e-02 1.349e-03 2.420e-04 5.191e-04 2.016e-05 1.602e-04 7.266e-06 
1.554e-02 5.311e-02 1.097e-01 1.801e-01 4.263e-04 6.546e-04 7.058e-04 2.731e-02 6.224e-06 3.904e-05 
1.062e-01 7.768e-03 3.684e-01 2.685e-02 2.902e-03 2.289e-04 1.303e-04 5.411e-06 3.450e-06 6.853e-07 
1.520e-02 3.796e-02 1.321e-01 1.869e-01 8.218e-04 7.488e-04 2.305e-04 1.476e-02 5.289e-06 5.477e-05 
7.592e-02 7.600e-03 3.654e-01 3.654e-02 1.003e-03 3.076e-04 1.284e-04 7.221e-06 3.551e-06 9.318e-07 
1.551e-02 2.988e-02 1.477e-01 1.868e-01 1.015e-03 1.108e-03 9.025e-05 8.595e-03 4.112e-06 2.266e-05 
5.976e-02 7.753e-03 3.552e-01 4.581e-02 8.657e-04 2.729e-04 1.329e-04 1.199e-05 3.457e-06 1.581e-06 
1.530e-02 2.170e-02 1.717e-01 1.854e-01 0.000e+00 0.000e+00 4.296e-05 4.016e-03 0.000e+00 0.000e+00 
4.340e-02 7.648e-03 3.405e-01 5.901e-02 7.319e-04 5.885e-04 1.252e-04 2.204e-05 5.521e-06 2.128e-06 
1.510e-02 1.578e-02 1.968e-01 1.751e-01 4.636e-04 5.650e-04 2.687e-05 1.535e-03 1.671e-06 1.122e-05 
3.156e-02 7.549e-03 3.181e-01 7.480e-02 7.144e-04 4.466e-04 9.686e-05 3.739e-05 3.311e-06 1.812e-06 
1.542e-02 1.354e-02 2.100e-01 1.662e-01 8.102e-04 4.348e-04 2.227e-05 8.618e-04 1.950e-06 9.089e-06 
2.708e-02 7.709e-03 3.092e-01 8.509e-02 6.569e-04 3.185e-04 9.989e-05 4.432e-05 3.387e-06 2.835e-06 
1.525e-02 9.654e-03 2.406e-01 1.418e-01 8.714e-04 8.960e-04 3.621e-05 3.181e-04 1.482e-06 5.456e-06 
1.931e-02 7.623e-03 2.857e-01 1.074e-01 6.381e-04 3.923e-04 6.273e-05 9.983e-05 2.501e-06 4.250e-06 
1.544e-02 7.722e-03 2.626e-01 1.249e-01 1.020e-03 3.675e-04 5.507e-05 1.646e-04 2.003e-06 4.071e-06 
1.544e-02 7.722e-03 2.626e-01 1.249e-01 1.020e-03 3.675e-04 5.507e-05 1.646e-04 2.003e-06 4.071e-06 
1.509e-02 5.956e-03 2.854e-01 1.078e-01 6.515e-04 3.769e-04 7.358e-05 9.525e-05 4.257e-06 2.591e-06 
1.191e-02 7.543e-03 2.397e-01 1.406e-01 7.543e-04 5.467e-04 4.256e-05 3.011e-04 2.294e-06 4.593e-06 
1.512e-02 4.306e-03 3.053e-01 8.625e-02 5.621e-04 3.910e-04 9.750e-05 4.893e-05 4.151e-06 1.826e-06 
8.612e-03 7.562e-03 2.139e-01 1.613e-01 5.381e-04 6.932e-04 2.362e-05 7.398e-04 1.206e-06 8.240e-06 
1.527e-02 3.653e-03 3.189e-01 7.528e-02 8.194e-04 3.866e-04 1.134e-04 3.320e-05 2.636e-06 2.168e-06 
7.307e-03 7.636e-03 2.012e-01 1.692e-01 8.121e-04 5.058e-04 2.338e-05 1.181e-03 1.344e-06 1.197e-05 
1.514e-02 2.669e-03 3.362e-01 5.833e-02 8.680e-04 3.463e-04 1.147e-04 2.138e-05 3.385e-06 1.185e-06 
5.337e-03 7.571e-03 1.834e-01 1.754e-01 7.945e-04 6.624e-04 2.864e-05 2.163e-03 1.798e-06 7.989e-06 
1.514e-02 1.965e-03 3.509e-01 4.503e-02 1.482e-03 1.489e-04 1.290e-04 1.496e-05 3.925e-06 1.300e-06 
3.929e-03 7.572e-03 1.747e-01 1.806e-01 7.218e-04 5.483e-04 3.225e-05 3.191e-03 1.684e-06 1.498e-05 
1.517e-02 1.518e-03 3.614e-01 3.640e-02 8.485e-04 3.648e-04 1.265e-04 1.000e-05 3.754e-06 7.391e-07 
3.037e-03 7.585e-03 1.659e-01 1.820e-01 6.522e-04 7.592e-04 4.672e-05 4.022e-03 2.827e-06 2.479e-05 
1.517e-02 1.110e-03 3.668e-01 2.776e-02 1.200e-03 1.505e-04 1.346e-04 6.044e-06 4.894e-06 6.117e-07 
2.219e-03 7.586e-03 1.633e-01 1.854e-01 4.206e-04 5.320e-04 4.517e-05 4.796e-03 4.731e-06 5.320e-05 
1.515e-02 7.348e-04 3.768e-01 2.030e-02 0.000e+00 0.000e+00 1.197e-04 4.688e-06 0.000e+00 0.000e+00 
1.470e-03 7.577e-03 1.587e-01 1.853e-01 4.911e-04 7.943e-04 6.601e-05 5.735e-03 2.323e-06 2.031e-05 
1.509e-02 4.071e-04 3.863e-01 9.883e-03 0.000e+00 0.000e+00 1.647e-04 1.978e-06 0.000e+00 0.000e+00 
8.142e-04 7.544e-03 1.541e-01 1.835e-01 6.190e-04 6.598e-04 8.463e-05 6.490e-03 4.826e-06 5.256e-05 
1.526e-02 1.493e-04 3.946e-01 3.992e-03 6.707e-04 9.100e-05 1.589e-04 5.840e-07 3.754e-06 2.172e-07 
2.987e-04 7.629e-03 2.645e-02 3.852e-02 1.544e-04 2.662e-04 1.946e-04 7.060e-03 5.430e-06 2.439e-05 
1.507e-02 7.610e-05 3.962e-01 2.234e-03 1.257e-03 7.201e-05 1.618e-04 0.000e+00 4.859e-06 0.000e+00 
1.522e-04 7.534e-03 2.199e-02 3.314e-02 1.834e-04 3.757e-04 1.071e-04 7.053e-03 4.600e-06 3.380e-05 
8.896e-03 1.158e-01 1.810e-02 4.845e-02 2.816e-04 3.552e-04 6.407e-03 1.086e-01 5.136e-05 1.033e-04 
2.315e-01 4.448e-03 3.676e-01 6.857e-03 5.677e-04 1.199e-04 2.084e-02 3.902e-04 4.270e-04 7.506e-06 
9.023e-03 8.360e-02 1.768e-02 4.741e-02 2.572e-04 6.256e-04 5.742e-03 7.555e-02 2.455e-05 5.848e-05 
1.672e-01 4.511e-03 3.789e-01 1.002e-02 0.000e+00 0.000e+00 4.140e-04 7.674e-06 0.000e+00 0.000e+00 
9.090e-03 4.687e-02 9.930e-02 1.698e-01 0.000e+00 0.000e+00 1.179e-03 3.212e-02 0.000e+00 0.000e+00 
