#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
1.521e-02 3.463e-01 1.668e-02 3.664e-01 2.182e-04 7.874e-04 1.448e-02 3.298e-01 3.990e-05 2.424e-04
3.957e-01 1.330e-02 4.120e-01 1.422e-02 1.043e-03 3.571e-04 3.822e-01 1.266e-02 1.735e-04 3.683e-05
1.544e-02 2.503e-01 2.527e-02 4.258e-01 4.652e-04 8.737e-04 1.785e-03 3.181e-02 2.713e-05 7.294e-05
2.861e-01 1.351e-02 4.297e-01 2.038e-02 1.590e-03 2.312e-04 3.418e-02 1.584e-03 2.831e-04 1.969e-05
1.558e-02 1.406e-01 4.831e-02 4.201e-01 7.321e-04 6.369e-04 6.469e-05 7.617e-04 2.778e-05 3.000e-04
1.606e-01 1.363e-02 4.420e-01 3.717e-02 1.181e-03 2.263e-04 1.940e-05 4.468e-06 1.011e-06 5.229e-07
9.023e-03 1.463e-01 3.074e-02 4.419e-01 4.219e-04 1.139e-03 1.274e-06 6.136e-05 5.443e-07 1.831e-06
1.672e-01 7.895e-03 4.533e-01 2.158e-02 8.303e-04 7.230e-04 2.686e-05 2.579e-06 1.802e-06 3.732e-07
1.554e-02 9.295e-02 7.291e-02 4.169e-01 4.749e-04 1.352e-03 2.298e-06 5.359e-05 4.515e-07 2.972e-06
1.062e-01 1.359e-02 4.436e-01 5.819e-02 1.130e-03 3.482e-04 2.886e-05 6.274e-06 1.688e-06 5.753e-07
1.520e-02 6.643e-02 9.513e-02 3.962e-01 6.035e-04 1.423e-03 3.134e-06 4.829e-05 6.606e-07 2.201e-06
7.592e-02 1.330e-02 4.220e-01 7.297e-02 1.545e-03 4.135e-04 2.238e-05 8.371e-06 1.381e-06 8.885e-07
1.551e-02 5.229e-02 1.145e-01 3.771e-01 8.873e-04 1.259e-03 3.852e-06 5.342e-05 6.065e-07 2.594e-06
5.976e-02 1.357e-02 4.059e-01 9.453e-02 7.693e-04 4.560e-04 2.321e-05 1.012e-05 1.348e-06 1.010e-06
2.785e-03 6.342e-02 2.359e-02 4.627e-01 5.135e-04 1.171e-03 8.269e-07 6.019e-05 2.576e-07 1.457e-06
7.248e-02 2.437e-03 4.821e-01 1.510e-02 8.284e-04 4.697e-04 2.871e-05 1.341e-06 1.922e-06 3.986e-07
1.530e-02 3.798e-02 1.459e-01 3.463e-01 5.792e-04 8.229e-04 4.650e-06 4.530e-05 7.750e-07 1.842e-06
4.340e-02 1.338e-02 3.775e-01 1.175e-01 8.871e-04 6.133e-04 2.184e-05 1.159e-05 1.301e-06 1.427e-06
1.510e-02 2.761e-02 1.829e-01 3.110e-01 5.544e-04 8.245e-04 8.318e-06 3.776e-05 7.270e-07 2.702e-06
3.156e-02 1.321e-02 3.502e-01 1.440e-01 1.372e-03 3.484e-04 1.857e-05 1.633e-05 1.423e-06 1.314e-06
1.542e-02 2.370e-02 1.991e-01 2.965e-01 6.981e-04 6.862e-04 4.899e-06 3.159e-05 1.190e-06 2.424e-06
2.708e-02 1.349e-02 3.309e-01 1.657e-01 1.774e-03 9.382e-04 1.446e-05 2.197e-05 1.196e-06 2.517e-06
8.755e-03 2.953e-02 1.145e-01 3.766e-01 5.453e-04 5.124e-04 4.107e-06 4.094e-05 6.708e-07 2.046e-06
3.374e-02 7.660e-03 4.096e-01 9.117e-02 9.962e-04 7.346e-04 1.694e-05 7.629e-06 1.879e-06 8.465e-07
1.525e-02 1.689e-02 2.375e-01 2.583e-01 8.090e-04 4.655e-04 9.003e-06 2.980e-05 8.723e-07 1.312e-06
1.931e-02 1.334e-02 2.957e-01 1.994e-01 1.000e-03 7.802e-04 1.767e-05 1.912e-05 1.368e-06 1.804e-06
1.544e-02 1.351e-02 2.649e-01 2.287e-01 1.023e-03 9.636e-04 1.059e-05 2.187e-05 1.315e-06 1.563e-06
1.581e-03 2.564e-02 2.781e-02 4.620e-01 4.363e-04 9.538e-04 3.442e-07 4.920e-05 1.057e-07 1.855e-06
2.931e-02 1.384e-03 4.738e-01 2.180e-02 1.158e-03 3.495e-04 2.354e-05 2.221e-06 1.820e-06 5.061e-07
1.509e-02 1.042e-02 2.959e-01 2.039e-01 8.490e-04 1.393e-03 1.091e-05 2.121e-05 1.040e-06 1.445e-06
1.191e-02 1.320e-02 2.401e-01 2.547e-01 8.397e-04 5.088e-04 7.967e-06 2.674e-05 7.693e-07 1.539e-06
1.512e-02 7.535e-03 3.280e-01 1.645e-01 7.317e-04 4.450e-04 1.459e-05 1.257e-05 9.652e-07 1.267e-06
8.612e-03 1.323e-02 1.984e-01 2.995e-01 7.793e-04 9.051e-04 8.286e-06 3.062e-05 8.550e-07 1.947e-06
1.527e-02 6.393e-03 3.514e-01 1.424e-01 1.961e-03 5.071e-04 1.563e-05 1.600e-05 1.717e-06 9.546e-07
7.307e-03 1.336e-02 1.774e-01 3.167e-01 1.635e-03 1.075e-03 5.948e-06 2.834e-05 9.622e-07 1.987e-06
